Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
13-03-2020,2859.0421993822047,587.8816898427549,2875.39616533952,3129.131555815131
14-03-2020,2851.100747608535,585.7698679298765,2872.783303938132,3121.2962235138384
15-03-2020,2843.1756388589793,583.6645078812714,2870.16143388071,3113.493761900376
16-03-2020,2835.2668678490472,581.5655837129043,2867.530574200976,3105.723932227302
17-03-2020,2827.374429820439,579.4730698319427,2864.8907448697482,3097.9864981734218
18-03-2020,2819.498320531792,577.386941031946,2862.241966783271,3090.2812258218923
19-03-2020,2811.638536249514,575.3071724880949,2859.584261751631,3082.607883638508
20-03-2020,2803.795073738698,573.2337397524641,2856.9176524872614,3074.966242450148
21-03-2020,2795.9679302541263,571.1666187493365,2854.24216259353,3067.3560754233918
22-03-2020,2788.1571035313436,569.1057857705587,2851.5578165534125,3059.777158043307
23-03-2020,2780.3625917778236,567.0512174709363,2848.86463971825,3052.2292680923956
24-03-2020,2772.584393664214,565.0028908636732,2846.1626582965923,3044.7121856297113
25-03-2020,2764.822508315656,562.9607833158475,2843.45189934312,3037.225692970131
26-03-2020,2757.0769353031883,560.9248725439306,2840.732390747654,3029.769574663799
27-03-2020,2749.3476746352326,558.8951366093443,2838.0041612242417,3022.3436174757226
28-03-2020,2741.634726749151,556.871553914058,2835.2672403003317,3014.947610365532
29-03-2020,2733.938092502888,554.8541031962263,2832.521658306024,3007.581344467397
30-03-2020,2726.257773166688,552.8427635258636,2829.7674463634044,3000.2446130701005
31-03-2020,2718.5937704148855,550.8375143005585,2827.0046363759548,2992.9372115972697
01-04-2020,2710.946086317782,548.8383352412275,2824.233261018048,2985.6589375877597
02-04-2020,2703.3147233335867,546.8452063879045,2821.453353724518,2978.4095906761922
03-04-2020,2695.6996843004426,544.8581080955707,2818.6649486803108,2971.188972573647
04-04-2020,2688.100972428523,542.8770210300202,2815.868080810212,2963.9968870485022
05-04-2020,2680.5185912922007,540.9019261637634,2813.0627857686545,2956.8331399074304
06-04-2020,2672.9525448222976,538.9328047719682,2810.249099929598,2949.6975389765394
